idx,sezione,sezione_vicini,frac_diversi,n_vicini,nome,indirizzo,civico
763,22,21,1.0,10,,,
4889,4,33,1.0,10,,,
2532,12,13,1.0,10,,,
3579,11,12,1.0,10,,,
3208,6,23,1.0,10,,,
3246,21,3,1.0,10,,,
554,None,39,0.9,10,,,
769,42,43,0.9,10,,,
1149,15,42,0.9,10,,,
1317,21,3,0.9,10,,,
4272,6,23,0.9,10,,,
1082,5,34,0.9,10,,,
1087,5,34,0.9,10,,,
1091,37,38,0.9,10,Torre del Mulino,,
1146,5,6,0.9,10,,,
786,1,2,0.9,10,Istituto Comprensivo Enrico Mestica,,
5462,26,27,0.9,10,,,
5463,26,27,0.9,10,,,
187,35,34,0.9,10,,,
3582,11,13,0.9,10,,,
263,15,42,0.9,10,,,
6182,25,26,0.9,10,,,
3444,24,23,0.9,10,,,
1919,25,26,0.9,10,,,
1856,4,33,0.9,10,,,
1990,26,7,0.9,10,,,
2143,29,23,0.9,10,,,
2123,25,7,0.9,10,,,
2421,37,38,0.9,10,,,
2422,37,38,0.9,10,,,
2467,18,17,0.9,10,,,
3886,2,6,0.9,10,,,
3823,31,30,0.9,10,,,
1736,23,33,0.9,10,,,
1557,1,7,0.9,10,,,
557,None,39,0.9,10,,,
784,1,2,0.9,10,,,
426,43,42,0.9,10,,,
425,43,42,0.9,10,,,
264,42,43,0.9,10,,,
4368,24,29,0.8,10,,,
4223,5,23,0.8,10,,,
4682,25,26,0.8,10,,,
4724,32,23,0.8,10,,,
1332,24,30,0.8,10,,,
914,15,43,0.8,10,,,
785,21,3,0.8,10,Porta Montana,,
4653,25,24,0.8,10,,,
1330,29,23,0.8,10,,,
4459,2,1,0.8,10,,,
3185,1,13,0.8,10,,,
2603,37,39,0.8,10,,,
2752,40,28,0.8,10,Il rifugio,,
3526,12,1,0.8,10,,,
3581,12,13,0.8,10,,,
3452,24,23,0.8,10,,,
69,18,17,0.8,10,,,
3390,21,3,0.8,10,,,
5941,23,33,0.8,10,,,
5932,27,24,0.8,10,,,
199,18,17,0.8,10,,,
66,43,15,0.8,10,,,
5940,23,33,0.8,10,,,
2526,12,13,0.8,10,,,
3451,29,23,0.8,10,,,
5942,23,33,0.8,10,,,
2524,1,13,0.8,10,,,
2604,37,39,0.8,10,,,
2252,21,2,0.8,10,,,
2498,17,18,0.8,10,,,
2473,18,32,0.8,10,,,
4221,5,23,0.8,10,,,
1687,24,23,0.8,10,,,
4222,5,23,0.8,10,,,
1508,25,7,0.8,10,,,
2004,7,1,0.8,10,,,
3735,5,6,0.8,10,,,
2002,7,25,0.8,10,,,
1996,26,7,0.8,10,,,
2497,17,18,0.8,10,,,
3819,29,30,0.8,10,,,
3183,1,13,0.8,10,,,
559,37,39,0.8,10,,,
556,37,39,0.8,10,,,
4771,33,23,0.8,10,,,
5412,24,28,0.8,10,,,
5023,14,15,0.8,10,,,
5405,24,26,0.8,10,,,
5359,14,15,0.8,10,,,
514,42,43,0.8,10,,,
555,37,39,0.8,10,,,
304,3,21,0.8,10,,,
339,13,1,0.8,10,,,
1213,15,42,0.8,10,,,
4697,2,1,0.8,10,,,
1334,24,29,0.8,10,,,
1484,7,1,0.8,10,,,
1345,23,29,0.8,10,,,
1352,15,42,0.8,10,,,
1498,1,7,0.8,10,,,
5774,37,39,0.8,10,,,
5729,24,7,0.8,10,,,
268,14,43,0.8,10,Seminario Diocesano Missionario 'Redemptoris Mater',Via Alessandro Filippucci,7
1784,10,1,0.8,10,,,
4120,10,1,0.8,10,,,
1566,7,1,0.8,10,,,
3820,31,30,0.8,10,,,
4049,24,29,0.8,10,,,
2244,13,16,0.8,10,,,
1867,24,23,0.8,10,,,
1989,26,7,0.8,10,,,
2320,7,1,0.8,10,,,
2276,18,17,0.8,10,,,
4457,2,1,0.7,10,,,
1503,24,25,0.7,10,,,
1505,24,7,0.7,10,,,
1485,25,7,0.7,10,,,
1507,25,24,0.7,10,,,
4519,24,23,0.7,10,,,
1040,2,1,0.7,10,,,
1067,23,33,0.7,10,,,
1156,15,43,0.7,10,,,
1158,15,43,0.7,10,,,
5498,27,26,0.7,10,,,
5174,11,12,0.7,10,,,
1502,25,7,0.7,10,,,
4520,24,23,0.7,10,,,
1326,2,6,0.7,10,,,
4683,25,26,0.7,10,,,
4758,33,23,0.7,10,,,
1325,2,6,0.7,10,,,
1168,41,43,0.7,10,,,
4659,24,26,0.7,10,,,
4552,25,24,0.7,10,,,
4919,33,23,0.7,10,,,
275,21,1,0.7,10,,,
278,4,19,0.7,10,,,
293,32,23,0.7,10,Chiesa di San Francesco,,
312,42,43,0.7,10,,,
323,15,43,0.7,10,,,
5734,41,19,0.7,10,,,
6225,18,17,0.7,10,,,
17,14,17,0.7,10,Ospedale Macerata Santa Lucia,Via Santa Lucia,2
5921,26,24,0.7,10,,,
58,5,23,0.7,10,Banca Macerata Forum,,
53,41,43,0.7,10,Agrotecnica,Via Domenico Concordia,80
40,43,41,0.7,10,Rifer gomme,,
347,14,17,0.7,10,,,
5733,41,19,0.7,10,,,
5740,41,19,0.7,10,,,
5737,41,19,0.7,10,,,
608,15,42,0.7,10,,,
486,34,35,0.7,10,,,
5653,None,39,0.7,10,,,
5652,None,39,0.7,10,,,
5730,25,7,0.7,10,,,
626,15,42,0.7,10,,,
5406,28,26,0.7,10,,,
710,21,17,0.7,10,,,
4921,33,23,0.7,10,,,
994,42,15,0.7,10,,,
4918,33,23,0.7,10,,,
1032,2,1,0.7,10,,,
5651,None,39,0.7,10,,,
5650,None,39,0.7,10,,,
5540,38,37,0.7,10,,,
5499,27,26,0.7,10,,,
3653,13,11,0.7,10,,,
3654,13,11,0.7,10,,,
3685,22,21,0.7,10,,,
3696,None,14,0.7,10,,,
3699,None,14,0.7,10,,,
3731,7,8,0.7,10,,,
3697,None,14,0.7,10,,,
3698,None,14,0.7,10,,,
2062,7,8,0.7,10,,,
2099,42,19,0.7,10,,,
1745,3,1,0.7,10,,,
1752,3,5,0.7,10,,,
1740,32,33,0.7,10,,,
1697,4,20,0.7,10,,,
4191,2,23,0.7,10,,,
1716,3,1,0.7,10,,,
4077,21,16,0.7,10,,,
1561,9,7,0.7,10,,,
1682,24,23,0.7,10,,,
4211,10,None,0.7,10,,,
4210,10,None,0.7,10,,,
3831,16,21,0.7,10,,,
